arm,step,vrmse
cnn,1,0.08130891621112823
cnn,2,0.13338172435760498
cnn,3,0.17405268549919128
cnn,4,0.20780536532402039
cnn,5,0.23491884768009186
cnn,6,0.25429725646972656
cnn,7,0.26625439524650574
cnn,8,0.27313074469566345
cnn,9,0.2775556743144989
cnn,10,0.281952828168869
cnn,11,0.2882620692253113
cnn,12,0.297273725271225
cnn,13,0.30854129791259766
cnn,14,0.3211943507194519
cnn,15,0.33460354804992676
cnn,16,0.34848639369010925
cnn,17,0.3627927303314209
cnn,18,0.3776395320892334
cnn,19,0.39333370327949524
cnn,20,0.41025885939598083
cnn,21,0.42864248156547546
cnn,22,0.44842350482940674
cnn,23,0.46937453746795654
cnn,24,0.4913122355937958
cnn,25,0.5140911340713501
cnn,26,0.5375009179115295
cnn,27,0.561298131942749
cnn,28,0.5853397846221924
cnn,29,0.6095840334892273
cnn,30,0.633999228477478
litefno_real,1,0.10471148788928986
litefno_real,2,0.16432161629199982
litefno_real,3,0.19533054530620575
litefno_real,4,0.21214154362678528
litefno_real,5,0.21972694993019104
litefno_real,6,0.2201560139656067
litefno_real,7,0.2164488285779953
litefno_real,8,0.2125585526227951
litefno_real,9,0.21209408342838287
litefno_real,10,0.21626918017864227
litefno_real,11,0.22356411814689636
litefno_real,12,0.23154766857624054
litefno_real,13,0.2383095920085907
litefno_real,14,0.2431117594242096
litefno_real,15,0.24654445052146912
litefno_real,16,0.2499001920223236
litefno_real,17,0.25422149896621704
litefno_real,18,0.2605837881565094
litefno_real,19,0.2698048949241638
litefno_real,20,0.28213539719581604
litefno_real,21,0.2972244322299957
litefno_real,22,0.31421422958374023
litefno_real,23,0.33208850026130676
litefno_real,24,0.3500545918941498
litefno_real,25,0.36757758259773254
litefno_real,26,0.38435906171798706
litefno_real,27,0.4003470838069916
litefno_real,28,0.4156652092933655
litefno_real,29,0.430484801530838
litefno_real,30,0.4449315667152405
