k,psd_true,psd_cnn
1,324.7912063598633,318.45577239990234
2,342.18786239624023,342.3026466369629
3,269.84661865234375,271.4766540527344
4,249.33743158976236,249.0375607808431
5,193.80948486328126,193.5328796386719
6,150.2347166273329,147.69569693671332
7,111.60860061645508,108.55481497446696
8,80.49020453861782,79.35420554024833
9,58.927195276532856,58.03067834036691
10,44.78257515851189,43.86824080523323
11,33.06402325630188,32.30320203304291
12,25.52864055633545,25.391917753219605
13,21.093566521354344,20.937863971876062
14,18.396566477688875,18.217201644724067
15,15.666474481423696,15.574671387672424
16,12.256504606556248,12.335728741980887
17,9.585159524281819,9.659016132354736
18,7.572093486785889,7.627985424465603
19,6.2326894998550415,6.442085564136505
20,4.965647339820862,5.221527248620987
21,3.8230714400609336,3.9405733744303384
22,2.356987476348877,1.8788113594055176
