ic,band,zonal_k,n_time,order,oscillatory_share,transient_share,stationary_share,dominant_period,dominant_sigma,diurnal_period,diurnal_error_pct,diurnal_sigma,diurnal_energy_share,diurnal_label,annual_period,annual_error_pct,annual_sigma,annual_energy_share,annual_label
IC36,tropics,0,3024,24,8.974502406909687e-05,0.07635193601633015,0.9235583189596006,14.32337862261475,-0.0031308670771008624,14.32337862261479,40.31925573910504,-0.0031308670770990804,4.487251203453568e-05,oscillatory,110.19376278051713,89.06807908923442,-0.014246802483749649,0.016190402943210922,transient
IC36,tropics,1,3024,24,0.998851210743555,0.0011487892564449272,0.0,48.43472156636594,-0.00023844507957869525,24.00525422724096,0.021892613504004288,-0.00010167735367629089,0.401207862804852,oscillatory,239.57445003874489,76.23269344853722,-0.00395300992470291,0.0222636379564815,oscillatory
IC36,tropics,2,3024,24,0.7400626732983402,0.25993732670165975,0.0,93.89547933551242,-0.0005209595619019171,24.39353980069888,1.63974916957866,0.0003105544998253005,0.06254694363086766,oscillatory,221.55706678990245,78.0201322629065,-0.015200228943457772,0.03541608553122885,transient
IC36,tropics,3,3024,24,0.01695126690730057,0.9830487330926996,0.0,16.294381386488222,0.00024110602438415037,20.612666029214356,14.113891544940182,-0.08342579624151697,0.0019467009598201324,transient,112.84053311689601,88.80550266697459,-0.021453311870554145,0.4676746064084827,transient
IC36,tropics,4,3024,24,0.7027907354940204,0.29720926450597984,0.0,94.63087430416219,-0.0034463459042328,25.275668342365265,5.3152847598552695,-0.0730084268143938,0.005550645230208936,transient,313.86948417643856,68.86215434757554,-0.0778862349901202,0.11689419824769383,transient
IC37,tropics,0,3024,24,0.0,0.12306722637075507,0.8769327736292449,nan,nan,14.072646833393877,41.363971527525514,-0.008373734766028953,0.00019655968175088517,transient,124.81460317886092,87.61759889098603,-0.013792107041291295,0.02861431221292943,transient
IC37,tropics,1,3024,24,0.5473141186818521,0.45268588131814785,0.0,24.003139830370234,-6.233023143299628e-05,24.003139830370234,0.013082626542641288,-6.233023143299628e-05,0.42049130393817985,oscillatory,175.44082963462557,82.59515579021571,-0.005226998223354967,0.24427244794247824,transient
IC37,tropics,2,3024,24,0.9234377191045073,0.07656228089549257,0.0,96.51229814216852,-0.0019174645036642258,24.010006379161897,0.04169324650790488,0.0007155062455745911,0.38561829736818204,oscillatory,320.5428988618065,68.20010923990016,-0.02209452226044175,0.002747291725821463,transient
IC37,tropics,3,3024,24,0.856015947203237,0.14398405279676305,0.0,93.93465524525227,-0.0007900458806530617,20.243649305559607,15.651461226834968,-0.05193624521921806,0.001340572546097288,transient,703.8749532102687,30.171135594219376,-0.020581571227030755,0.01561701490154703,transient
IC37,tropics,4,3024,24,0.07329588842745102,0.9267041115725491,0.0,12.028252993696041,0.0011148201239935796,20.691175085010038,13.786770479124845,-0.05982926220934884,0.004149732963331277,transient,204.42718354774323,79.71952544169214,-0.023473278268177775,0.040230639018258435,transient
