arm,bits,vrmse,size_mb
cnn,32,0.015093799696256549,0.431368
cnn,16,0.015072599448011084,0.215684
cnn,8,0.015956904533934797,0.107842
cnn,6,0.030113474828964572,0.0808815
cnn,4,0.11051944870564898,0.053921
cnn,3,0.5457252476174953,0.04044075
cnn,2,0.5958880378028094,0.0269605
litefno_real,32,0.012562963701153205,0.718664
litefno_real,16,0.012576174409270792,0.359332
litefno_real,8,0.01615682373738895,0.179666
litefno_real,6,0.02926465881577993,0.1347495
litefno_real,4,0.06444713220757953,0.089833
litefno_real,3,0.6673021094273712,0.06737475
litefno_real,2,1.3061027466240576,0.0449165
