disaster,fips,svi,population,award_per_capita
4834,12001,0.6099,279729.0,2.0858618877556485
4834,12003,0.6188,27969.0,0.0
4834,12007,0.8867,27816.0,0.0
4834,12009,0.4817,610723.0,19.99526418687359
4834,12011,0.7814,1940907.0,0.7734054748630407
4834,12015,0.5953,189900.0,96.94708146392838
4834,12017,0.5698,155173.0,2.7579545410606228
4834,12019,0.3649,219650.0,2.5078253585249266
4834,12021,0.6141,380221.0,28.63979798590819
4834,12023,0.9138,69832.0,1.525649845343109
4834,12027,0.9981,34258.0,53.81738280109758
4834,12029,0.7719,16737.0,4.4418695106649935
4834,12031,0.7935,995708.0,0.2896849076235201
4834,12035,0.3121,117515.0,93.46788461047527
4834,12041,0.7337,18070.0,0.0
4834,12043,0.9058,12179.0,665.9732588882503
4834,12047,0.9803,13492.0,0.0
4834,12049,0.993,25528.0,117.4919927138828
4834,12051,0.9946,39902.0,5.165478923362238
4834,12053,0.6602,196621.0,45.0578047614446
4834,12055,0.8673,102339.0,37.111670135529955
4834,12057,0.7789,1468560.0,90.33038850302331
4834,12061,0.5145,160986.0,27.139030350465266
4834,12067,0.8409,8107.0,0.0
4834,12069,0.6214,386829.0,31.154225458794453
4834,12071,0.7086,772902.0,29.018957940333966
4834,12075,0.7582,43268.0,35.10202412868633
4834,12079,0.8638,17986.0,0.0
4834,12081,0.6332,405069.0,120.49249142738645
4834,12083,0.8196,378225.0,7.388618890871837
4834,12085,0.4642,159399.0,31.784068846103175
4834,12086,0.881,2688237.0,1.1841834146319685
4834,12087,0.6822,82044.0,0.0
4834,12089,0.2539,91538.0,4.48503135309926
4834,12093,0.9637,39870.0,24.811743165287183
4834,12095,0.7951,1427403.0,11.05884460800488
4834,12097,0.8307,393745.0,11.223587804289583
4834,12099,0.8008,1494805.0,5.646886276136352
4834,12101,0.7041,569211.0,67.41860231091815
4834,12103,0.7095,959918.0,125.75146730241543
4834,12105,0.8912,736229.0,25.96679838745825
4834,12107,0.9835,73604.0,5.725326069235368
4834,12109,0.1266,278722.0,91.20113424846262
4834,12111,0.7906,334682.0,7.201309810506689
4834,12115,0.3653,439392.0,148.53922627175734
4834,12117,0.3996,471321.0,12.190143914656886
4834,12119,0.3026,131832.0,58.603115404454144
4834,12121,0.8457,43881.0,2.6779387434197033
4834,12123,0.8062,21421.0,0.0
4834,12125,0.6669,15524.0,0.0
4834,12127,0.6987,558520.0,56.221617793454115
4830,13001,0.9122,18441.0,1288.9299110677298
4830,13003,0.8444,8265.0,2240.749500302481
4830,13005,0.889,11138.0,11364.640490213684
4830,13009,0.923,43778.0,3.566953721047101
