disaster,title,fy,state,n_declared,total_obligated,n,beta,r2,se,alpha,manipulability,fragility,null_mean,null_sd,p_two_sided
4834,HURRICANE MILTON ,2025,FL,51,661478143.29,42,-0.7113196086432088,0.03414205523604896,0.5982002402898762,3.464038535142698,0.7113196086432088,0.8763594632497447,0.018630079387630796,0.6752997442733181,0.2675
4830,HURRICANE HELENE,2024,GA,92,1352041975.06,80,2.11217634791794,0.14330475201505355,0.5847439764272881,0.3213185527449319,2.11217634791794,0.7167474503314359,-0.03352206401268185,0.5484853277404603,0.0
4829,HURRICANE HELENE,2024,SC,33,469443180.94,32,0.5363474944677759,0.009800177881321037,0.9843058619427681,0.6508944126253298,0.5363474944677759,0.09362095354655278,-0.024081736191427252,0.9245960352109582,0.54
4828,HURRICANE HELENE,2024,FL,46,800304450.0999998,43,-0.5153895790968902,0.005794009955864099,1.0543681389851631,2.0635131991929128,0.5153895790968902,0.2740618100480113,-0.06138667328997006,1.0463338926999468,0.6475
4817,HURRICANE FRANCINE,2024,LA,22,87730472.68,22,0.9642966546888415,0.04511412249377078,0.9920079216960281,0.509088073643544,0.9642966546888415,0.23669236416619266,-0.035665619077477506,1.0199218275600985,0.3725
4798,HURRICANE BERYL ,2024,TX,67,226334476.86999995,37,-2.658344961604644,0.05894295944132821,1.7954334826663874,nan,2.658344961604644,nan,0.014032959244254486,1.7685802158454473,0.1375
4738,HURRICANE IDALIA,2023,GA,32,55144725.50999999,30,0.429585769771437,0.004221207307455788,1.2469067237127287,0.6995033254702029,0.429585769771437,0.06454454762081992,-0.04921112201624793,1.3104084367368212,0.7625
4734,HURRICANE IDALIA,2023,FL,49,451671058.3499999,45,0.3139634985226984,0.0028242412764069025,0.8996630628933722,0.7610561489145699,0.3139634985226984,0.037509823718634164,0.047755838816424506,0.9256539424384644,0.74
4680,HURRICANE NICOLE,2023,FL,61,120190269.14000002,31,-3.3210607842063915,0.3432247456864791,0.8530940641636242,nan,3.3210607842063915,nan,0.002246849195311258,1.3147728158787093,0.005
4677,HURRICANE IAN,2023,SC,46,21610142.64,17,-2.313286855473514,0.12042874815046889,1.6141886444189124,nan,2.313286855473514,nan,0.09810021443199143,1.7578016175998543,0.21
4673,HURRICANE IAN,2022,FL,67,2910163686.2500014,48,-0.769918560622349,0.014935282783393067,0.9219163784214367,4.34628713513314,0.769918560622349,1.2881842872553952,0.05254190176693445,0.9816717350226174,0.425
4626,HURRICANE IDA,2022,MS,82,29915920.489999995,20,0.05838934238599814,5.8450489170414066e-05,1.8000748480424935,0.9448318874277709,0.05838934238599814,0.00161061490688459,0.08261622371210776,1.782914053040533,0.9775
