arm,kind,dose,n_components,params_moved,frac_of_model,test_vrmse,train_s,ray,distance,seed,diffusion,omega,budget
scratch,scratch,0,0,0,0.0,0.06654398888349533,9.4,diffuse,0.0,0,0.4,0.6,4
scratch,scratch,0,0,0,0.0,0.0704641118645668,9.6,diffuse,0.0,1,0.4,0.6,4
scratch,scratch,0,0,0,0.0,0.07991032302379608,9.3,diffuse,0.0,2,0.4,0.6,4
finetune,finetune,-1,0,7106,1.0,0.013414076529443264,9.3,diffuse,0.0,0,0.4,0.6,4
finetune,finetune,-1,0,7106,1.0,0.013286266475915909,9.3,diffuse,0.0,1,0.4,0.6,4
finetune,finetune,-1,0,7106,1.0,0.013774714432656765,9.7,diffuse,0.0,2,0.4,0.6,4
transplant_all,transplant_all,-2,8,672,0.09457,0.059595927596092224,9.5,diffuse,0.0,0,0.4,0.6,4
transplant_all,transplant_all,-2,8,672,0.09457,0.06052030622959137,9.5,diffuse,0.0,1,0.4,0.6,4
transplant_all,transplant_all,-2,8,672,0.09457,0.07489071786403656,9.5,diffuse,0.0,2,0.4,0.6,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.06486096233129501,9.2,diffuse,0.0,0,0.4,0.6,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.06796414405107498,9.7,diffuse,0.0,1,0.4,0.6,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.07826240360736847,9.4,diffuse,0.0,2,0.4,0.6,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.06581089645624161,9.5,diffuse,0.0,0,0.4,0.6,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.06952448189258575,9.2,diffuse,0.0,1,0.4,0.6,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.07955445349216461,9.8,diffuse,0.0,2,0.4,0.6,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.06395617872476578,9.4,diffuse,0.0,0,0.4,0.6,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.0669088289141655,9.3,diffuse,0.0,1,0.4,0.6,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.07750963419675827,9.5,diffuse,0.0,2,0.4,0.6,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.0651833787560463,9.5,diffuse,0.0,0,0.4,0.6,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.06844362616539001,9.5,diffuse,0.0,1,0.4,0.6,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.07885879278182983,9.2,diffuse,0.0,2,0.4,0.6,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.06286697089672089,9.2,diffuse,0.0,0,0.4,0.6,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.06555457413196564,9.4,diffuse,0.0,1,0.4,0.6,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.07706698775291443,9.5,diffuse,0.0,2,0.4,0.6,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.06470075994729996,9.3,diffuse,0.0,0,0.4,0.6,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.0676863044500351,9.7,diffuse,0.0,1,0.4,0.6,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.07853102684020996,9.3,diffuse,0.0,2,0.4,0.6,4
scratch,scratch,0,0,0,0.0,0.07523337006568909,9.6,diffuse,0.25,0,0.47734583177917983,0.5027801313472534,4
scratch,scratch,0,0,0,0.0,0.07854188233613968,10.2,diffuse,0.25,1,0.47734583177917983,0.5027801313472534,4
scratch,scratch,0,0,0,0.0,0.08769497275352478,9.3,diffuse,0.25,2,0.47734583177917983,0.5027801313472534,4
finetune,finetune,-1,0,7106,1.0,0.01514719519764185,9.6,diffuse,0.25,0,0.47734583177917983,0.5027801313472534,4
finetune,finetune,-1,0,7106,1.0,0.015165089629590511,9.9,diffuse,0.25,1,0.47734583177917983,0.5027801313472534,4
finetune,finetune,-1,0,7106,1.0,0.01526561938226223,9.5,diffuse,0.25,2,0.47734583177917983,0.5027801313472534,4
transplant_all,transplant_all,-2,8,672,0.09457,0.06765168160200119,10.1,diffuse,0.25,0,0.47734583177917983,0.5027801313472534,4
transplant_all,transplant_all,-2,8,672,0.09457,0.06766242533922195,11.3,diffuse,0.25,1,0.47734583177917983,0.5027801313472534,4
transplant_all,transplant_all,-2,8,672,0.09457,0.081588514149189,10.4,diffuse,0.25,2,0.47734583177917983,0.5027801313472534,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.0731833204627037,9.6,diffuse,0.25,0,0.47734583177917983,0.5027801313472534,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.07588771730661392,9.6,diffuse,0.25,1,0.47734583177917983,0.5027801313472534,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.08583474159240723,9.8,diffuse,0.25,2,0.47734583177917983,0.5027801313472534,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.07443296909332275,9.5,diffuse,0.25,0,0.47734583177917983,0.5027801313472534,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.07749181240797043,9.5,diffuse,0.25,1,0.47734583177917983,0.5027801313472534,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.08722787350416183,9.4,diffuse,0.25,2,0.47734583177917983,0.5027801313472534,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.07240032404661179,9.6,diffuse,0.25,0,0.47734583177917983,0.5027801313472534,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.07475893944501877,9.5,diffuse,0.25,1,0.47734583177917983,0.5027801313472534,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.08499819785356522,10.7,diffuse,0.25,2,0.47734583177917983,0.5027801313472534,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.07393541932106018,10.3,diffuse,0.25,0,0.47734583177917983,0.5027801313472534,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.07622376829385757,10.5,diffuse,0.25,1,0.47734583177917983,0.5027801313472534,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.08641961216926575,10.0,diffuse,0.25,2,0.47734583177917983,0.5027801313472534,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.07123851031064987,10.3,diffuse,0.25,0,0.47734583177917983,0.5027801313472534,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.07328230887651443,9.8,diffuse,0.25,1,0.47734583177917983,0.5027801313472534,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.08452403545379639,10.5,diffuse,0.25,2,0.47734583177917983,0.5027801313472534,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.07353824377059937,11.0,diffuse,0.25,0,0.47734583177917983,0.5027801313472534,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.07540123164653778,10.1,diffuse,0.25,1,0.47734583177917983,0.5027801313472534,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.0859733521938324,9.5,diffuse,0.25,2,0.47734583177917983,0.5027801313472534,4
scratch,scratch,0,0,0,0.0,0.08370127528905869,9.5,diffuse,0.5,0,0.5696476077923927,0.42131310079593576,4
scratch,scratch,0,0,0,0.0,0.08850817382335663,9.9,diffuse,0.5,1,0.5696476077923927,0.42131310079593576,4
scratch,scratch,0,0,0,0.0,0.0965847373008728,10.2,diffuse,0.5,2,0.5696476077923927,0.42131310079593576,4
finetune,finetune,-1,0,7106,1.0,0.017124520614743233,9.5,diffuse,0.5,0,0.5696476077923927,0.42131310079593576,4
finetune,finetune,-1,0,7106,1.0,0.01711084321141243,9.4,diffuse,0.5,1,0.5696476077923927,0.42131310079593576,4
finetune,finetune,-1,0,7106,1.0,0.017285170033574104,9.4,diffuse,0.5,2,0.5696476077923927,0.42131310079593576,4
transplant_all,transplant_all,-2,8,672,0.09457,0.07666665315628052,9.4,diffuse,0.5,0,0.5696476077923927,0.42131310079593576,4
transplant_all,transplant_all,-2,8,672,0.09457,0.07683061063289642,9.5,diffuse,0.5,1,0.5696476077923927,0.42131310079593576,4
transplant_all,transplant_all,-2,8,672,0.09457,0.08945252746343613,10.3,diffuse,0.5,2,0.5696476077923927,0.42131310079593576,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.08157055824995041,11.0,diffuse,0.5,0,0.5696476077923927,0.42131310079593576,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.08570218831300735,9.7,diffuse,0.5,1,0.5696476077923927,0.42131310079593576,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.09453554451465607,10.1,diffuse,0.5,2,0.5696476077923927,0.42131310079593576,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.0828605368733406,10.5,diffuse,0.5,0,0.5696476077923927,0.42131310079593576,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.08734746277332306,10.3,diffuse,0.5,1,0.5696476077923927,0.42131310079593576,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.09610523283481598,10.0,diffuse,0.5,2,0.5696476077923927,0.42131310079593576,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.08136730641126633,10.9,diffuse,0.5,0,0.5696476077923927,0.42131310079593576,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.08448825031518936,10.6,diffuse,0.5,1,0.5696476077923927,0.42131310079593576,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.0935884341597557,10.5,diffuse,0.5,2,0.5696476077923927,0.42131310079593576,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.08270330727100372,10.0,diffuse,0.5,0,0.5696476077923927,0.42131310079593576,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.08593728393316269,10.0,diffuse,0.5,1,0.5696476077923927,0.42131310079593576,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.0952087864279747,10.1,diffuse,0.5,2,0.5696476077923927,0.42131310079593576,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.08025472611188889,10.4,diffuse,0.5,0,0.5696476077923927,0.42131310079593576,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.08285492658615112,10.4,diffuse,0.5,1,0.5696476077923927,0.42131310079593576,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.0930284708738327,9.7,diffuse,0.5,2,0.5696476077923927,0.42131310079593576,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.08250240236520767,10.4,diffuse,0.5,0,0.5696476077923927,0.42131310079593576,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.08505668491125107,10.0,diffuse,0.5,1,0.5696476077923927,0.42131310079593576,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.09459497034549713,10.6,diffuse,0.5,2,0.5696476077923927,0.42131310079593576,4
scratch,scratch,0,0,0,0.0,0.1004386618733406,10.9,diffuse,1.0,0,0.8112459926589889,0.2958412148371439,4
scratch,scratch,0,0,0,0.0,0.11338429152965546,12.8,diffuse,1.0,1,0.8112459926589889,0.2958412148371439,4
scratch,scratch,0,0,0,0.0,0.11873617023229599,9.9,diffuse,1.0,2,0.8112459926589889,0.2958412148371439,4
finetune,finetune,-1,0,7106,1.0,0.022023828700184822,9.9,diffuse,1.0,0,0.8112459926589889,0.2958412148371439,4
finetune,finetune,-1,0,7106,1.0,0.021901631727814674,10.3,diffuse,1.0,1,0.8112459926589889,0.2958412148371439,4
finetune,finetune,-1,0,7106,1.0,0.022308412939310074,10.9,diffuse,1.0,2,0.8112459926589889,0.2958412148371439,4
transplant_all,transplant_all,-2,8,672,0.09457,0.09714962542057037,10.1,diffuse,1.0,0,0.8112459926589889,0.2958412148371439,4
transplant_all,transplant_all,-2,8,672,0.09457,0.09842965751886368,10.7,diffuse,1.0,1,0.8112459926589889,0.2958412148371439,4
transplant_all,transplant_all,-2,8,672,0.09457,0.10949470847845078,10.2,diffuse,1.0,2,0.8112459926589889,0.2958412148371439,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.09852984547615051,10.0,diffuse,1.0,0,0.8112459926589889,0.2958412148371439,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.10988340526819229,10.0,diffuse,1.0,1,0.8112459926589889,0.2958412148371439,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.11616374552249908,9.9,diffuse,1.0,2,0.8112459926589889,0.2958412148371439,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.09967979788780212,10.1,diffuse,1.0,0,0.8112459926589889,0.2958412148371439,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.11191695183515549,10.1,diffuse,1.0,1,0.8112459926589889,0.2958412148371439,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.11835489422082901,9.8,diffuse,1.0,2,0.8112459926589889,0.2958412148371439,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.09913913160562515,9.9,diffuse,1.0,0,0.8112459926589889,0.2958412148371439,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.10833335667848587,9.8,diffuse,1.0,1,0.8112459926589889,0.2958412148371439,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.11518562585115433,9.9,diffuse,1.0,2,0.8112459926589889,0.2958412148371439,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.10032130777835846,9.6,diffuse,1.0,0,0.8112459926589889,0.2958412148371439,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.11003656685352325,7.8,diffuse,1.0,1,0.8112459926589889,0.2958412148371439,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.11762983351945877,1078.4,diffuse,1.0,2,0.8112459926589889,0.2958412148371439,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.09938021004199982,1238.8,diffuse,1.0,0,0.8112459926589889,0.2958412148371439,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.10629662126302719,29.2,diffuse,1.0,1,0.8112459926589889,0.2958412148371439,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.11408256739377975,25.8,diffuse,1.0,2,0.8112459926589889,0.2958412148371439,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.10023148357868195,1041.9,diffuse,1.0,0,0.8112459926589889,0.2958412148371439,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.10888832062482834,2958.9,diffuse,1.0,1,0.8112459926589889,0.2958412148371439,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.11668148636817932,25.9,diffuse,1.0,2,0.8112459926589889,0.2958412148371439,4
scratch,scratch,0,0,0,0.0,0.1340499073266983,18.6,diffuse,1.75,0,1.378707043805747,0.17407613972690691,4
scratch,scratch,0,0,0,0.0,0.16342461109161377,19.4,diffuse,1.75,1,1.378707043805747,0.17407613972690691,4
scratch,scratch,0,0,0,0.0,0.14777253568172455,18.6,diffuse,1.75,2,1.378707043805747,0.17407613972690691,4
finetune,finetune,-1,0,7106,1.0,0.0331173911690712,2819.4,diffuse,1.75,0,1.378707043805747,0.17407613972690691,4
finetune,finetune,-1,0,7106,1.0,0.03250391036272049,835.8,diffuse,1.75,1,1.378707043805747,0.17407613972690691,4
finetune,finetune,-1,0,7106,1.0,0.03358960524201393,17.8,diffuse,1.75,2,1.378707043805747,0.17407613972690691,4
transplant_all,transplant_all,-2,8,672,0.09457,0.14326976239681244,20.2,diffuse,1.75,0,1.378707043805747,0.17407613972690691,4
transplant_all,transplant_all,-2,8,672,0.09457,0.14224307239055634,15.8,diffuse,1.75,1,1.378707043805747,0.17407613972690691,4
transplant_all,transplant_all,-2,8,672,0.09457,0.14547333121299744,26.7,diffuse,1.75,2,1.378707043805747,0.17407613972690691,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.13452023267745972,70.3,diffuse,1.75,0,1.378707043805747,0.17407613972690691,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.15864992141723633,24.2,diffuse,1.75,1,1.378707043805747,0.17407613972690691,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.14614762365818024,258.4,diffuse,1.75,2,1.378707043805747,0.17407613972690691,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.13585735857486725,87.4,diffuse,1.75,0,1.378707043805747,0.17407613972690691,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.16143493354320526,10.2,diffuse,1.75,1,1.378707043805747,0.17407613972690691,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.14875808358192444,9.2,diffuse,1.75,2,1.378707043805747,0.17407613972690691,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.1353265643119812,9.2,diffuse,1.75,0,1.378707043805747,0.17407613972690691,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.15719079971313477,9.3,diffuse,1.75,1,1.378707043805747,0.17407613972690691,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.1468115746974945,9.1,diffuse,1.75,2,1.378707043805747,0.17407613972690691,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.13853555917739868,9.2,diffuse,1.75,0,1.378707043805747,0.17407613972690691,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.15917062759399414,9.2,diffuse,1.75,1,1.378707043805747,0.17407613972690691,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.1474328488111496,9.2,diffuse,1.75,2,1.378707043805747,0.17407613972690691,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.1352955549955368,9.2,diffuse,1.75,0,1.378707043805747,0.17407613972690691,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.1538987010717392,9.2,diffuse,1.75,1,1.378707043805747,0.17407613972690691,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.14580018818378448,9.2,diffuse,1.75,2,1.378707043805747,0.17407613972690691,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.14103075861930847,9.2,diffuse,1.75,0,1.378707043805747,0.17407613972690691,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.15692029893398285,9.2,diffuse,1.75,1,1.378707043805747,0.17407613972690691,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.14860664308071136,9.2,diffuse,1.75,2,1.378707043805747,0.17407613972690691,4
scratch,scratch,0,0,0,0.0,0.06654398888349533,9.2,sharp,0.0,0,0.4,0.6,4
scratch,scratch,0,0,0,0.0,0.0704641118645668,9.2,sharp,0.0,1,0.4,0.6,4
scratch,scratch,0,0,0,0.0,0.07991032302379608,9.2,sharp,0.0,2,0.4,0.6,4
finetune,finetune,-1,0,7106,1.0,0.013414076529443264,9.2,sharp,0.0,0,0.4,0.6,4
finetune,finetune,-1,0,7106,1.0,0.013286266475915909,9.3,sharp,0.0,1,0.4,0.6,4
finetune,finetune,-1,0,7106,1.0,0.013774714432656765,9.3,sharp,0.0,2,0.4,0.6,4
transplant_all,transplant_all,-2,8,672,0.09457,0.059595927596092224,9.2,sharp,0.0,0,0.4,0.6,4
transplant_all,transplant_all,-2,8,672,0.09457,0.06052030622959137,9.3,sharp,0.0,1,0.4,0.6,4
transplant_all,transplant_all,-2,8,672,0.09457,0.07489071786403656,9.3,sharp,0.0,2,0.4,0.6,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.06486096233129501,9.3,sharp,0.0,0,0.4,0.6,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.06796414405107498,9.3,sharp,0.0,1,0.4,0.6,4
