alpha,coalition_size,kappa,n_states,profiles_searched,corner_beaten,max_margin
0.25,2,1.5,12,204,0,0.0
0.25,3,1.5,12,208,0,0.0
0.25,4,1.5,12,216,0,0.0
0.5,2,1.5,12,204,0,0.0
0.5,3,1.5,12,208,0,0.0
0.5,4,1.5,12,216,0,0.0
1.0,2,1.5,12,204,0,0.0
1.0,3,1.5,12,208,0,0.0
1.0,4,1.5,12,216,0,0.0
2.0,2,1.5,12,204,0,0.0
2.0,3,1.5,12,208,0,0.0
2.0,4,1.5,12,216,0,0.0
4.0,2,1.5,12,204,0,0.0
4.0,3,1.5,12,208,0,0.0
4.0,4,1.5,12,216,0,0.0
8.0,2,1.5,12,204,0,0.0
8.0,3,1.5,12,208,0,0.0
8.0,4,1.5,12,216,0,0.0
