cap_multiplier,coalition_size,kappa,max_capture_ratio,structural_bound,cap_binds
inf,1,1.5,1.4635562399724158,inf,False
inf,2,1.5,1.4283851545965374,inf,False
inf,4,1.5,1.3617713462985686,inf,False
inf,8,1.5,1.232953835677112,inf,False
inf,1,4.0,3.480323382139492,inf,False
inf,2,4.0,3.0756835624046106,inf,False
inf,4,4.0,2.487365725659955,inf,False
inf,8,4.0,1.7404343944751002,inf,False
inf,1,16.0,9.16703832244813,inf,False
inf,2,16.0,6.400897411746832,inf,False
inf,4,16.0,3.9655414249720753,inf,False
inf,8,16.0,2.137178096364276,inf,False
4.0,1,1.5,1.4635562399724158,5.046504695268733,False
4.0,2,1.5,1.4283851545965376,5.011795346958518,False
4.0,4,1.5,1.3617713462985688,4.9489923783380005,False
4.0,8,1.5,1.232953835677112,4.626513572695839,False
4.0,1,4.0,3.480323382139492,5.046504695268733,False
4.0,2,4.0,3.0756835624046106,5.011795346958518,False
4.0,4,4.0,2.487365725659955,4.9489923783380005,False
4.0,8,4.0,1.7404343944751002,4.626513572695839,False
4.0,1,16.0,5.046504695268733,5.046504695268733,True
4.0,2,16.0,5.011795346958518,5.011795346958518,True
4.0,4,16.0,3.9655414249720753,4.9489923783380005,False
4.0,8,16.0,2.137178096364276,4.626513572695839,False
2.0,1,1.5,1.4635562399724158,2.5232523476343665,False
2.0,2,1.5,1.4283851545965376,2.505897673479259,False
2.0,4,1.5,1.3617713462985688,2.4744961891690003,False
2.0,8,1.5,1.232953835677112,2.3132567863479196,False
2.0,1,4.0,2.5232523476343665,2.5232523476343665,True
2.0,2,4.0,2.505897673479259,2.505897673479259,True
2.0,4,4.0,2.432215349125711,2.4744961891690003,False
2.0,8,4.0,1.7404343944751002,2.3132567863479196,False
2.0,1,16.0,2.5232523476343665,2.5232523476343665,True
2.0,2,16.0,2.505897673479259,2.505897673479259,True
2.0,4,16.0,2.4744961891690003,2.4744961891690003,True
2.0,8,16.0,2.1345954801792937,2.3132567863479196,False
1.5,1,1.5,1.4635562399724158,1.8924392607257752,False
1.5,2,1.5,1.4283851545965376,1.8794232551094443,False
1.5,4,1.5,1.3617713462985688,1.8558721418767503,False
1.5,8,1.5,1.232953835677112,1.7349425897609394,False
1.5,1,4.0,1.8924392607257752,1.8924392607257752,True
1.5,2,4.0,1.8794232551094443,1.8794232551094443,True
1.5,4,4.0,1.8558721418767503,1.8558721418767503,True
1.5,8,4.0,1.70663991567955,1.7349425897609394,False
1.5,1,16.0,1.8924392607257752,1.8924392607257752,True
1.5,2,16.0,1.8794232551094443,1.8794232551094443,True
1.5,4,16.0,1.8558721418767503,1.8558721418767503,True
1.5,8,16.0,1.7349425897609394,1.7349425897609394,True
