arm,factorization,params,modes,size,seed,test_vrmse,train_s,policy
cnn,n/a,45602,16,32,0,0.04608937352895737,19.8,repo
cnn,n/a,45602,16,32,1,0.040733177214860916,18.5,repo
litefno,cp,43162,16,32,0,0.03842010721564293,48.5,repo
litefno,cp,43162,16,32,1,0.0373028926551342,47.9,repo
fno_s,dense,2101538,16,32,0,0.060688115656375885,28.5,repo
fno_s,dense,2101538,16,32,1,0.058336351066827774,28.5,repo
cnn,n/a,45602,16,64,0,0.04670081287622452,71.1,repo
cnn,n/a,45602,16,64,1,0.03840320557355881,71.7,repo
litefno,cp,43162,16,64,0,0.03877836838364601,166.3,repo
litefno,cp,43162,16,64,1,0.03998702019453049,168.7,repo
fno_s,dense,2101538,16,64,0,0.06441260129213333,81.0,repo
fno_s,dense,2101538,16,64,1,0.06213626265525818,82.0,repo
cnn,n/a,45602,16,128,0,0.050483621656894684,311.4,repo
cnn,n/a,45602,16,128,1,0.05043679475784302,308.1,repo
litefno,cp,43162,16,128,0,0.040837764739990234,673.9,repo
litefno,cp,43162,16,128,1,0.04159173369407654,697.5,repo
fno_s,dense,2101538,16,128,0,0.06773886829614639,290.1,repo
fno_s,dense,2101538,16,128,1,0.06509697437286377,281.9,repo
