k,psd_true,psd_cnn,psd_litefno_real
1,274.3731231689453,257.811824798584,297.7409248352051
2,291.45164680480957,278.33610343933105,307.88838386535645
3,264.4620666503906,248.42876586914062,274.83519592285154
4,259.86363983154297,246.9805005391439,271.7575492858887
5,198.39376335144044,190.51413116455078,212.00641632080078
6,152.31803131103516,144.48544269137912,160.03103849622937
7,120.9303747812907,113.43214575449626,127.21873569488525
8,88.01470157078334,81.85285990578788,91.49502795083183
9,58.31997162955148,55.50296756199428,58.87055015563965
10,50.60780581306009,48.44058822183048,49.84258045869715
11,37.49441695213318,35.433064222335815,37.2427778840065
12,31.254017972946166,29.978189253807066,32.31768653392792
13,25.891701055609662,24.754480030225672,26.730548651322074
14,22.277864282781426,21.12929001721469,23.481661319732666
15,18.493916362524033,17.406679411729176,20.147493372360866
16,15.988470000189704,15.120296774683771,18.653649858526283
17,11.80418365796407,11.440792083740234,14.506651751200359
18,9.312946213616264,9.012298186620077,12.29968367682563
19,7.6475938856601715,7.706553190946579,10.73978641629219
20,6.760417282581329,6.785011827945709,9.466927170753479
21,4.996329585711162,5.019357959429423,8.104501406351725
22,2.266404151916504,2.1452476978302,2.703218698501587
