k,n_modes,shell_energy_share,cumulative_share
1,8,0.03489433969638048,0.03489433969638048
2,16,0.07413271862211038,0.10902705831849085
3,20,0.08408466802361743,0.19311172634210827
4,24,0.09914713968652367,0.29225886602863194
5,40,0.12615702463986886,0.4184158906685008
6,36,0.08717204802273214,0.505587938691233
7,48,0.09227840238485661,0.5978663410760896
8,56,0.07835499343340402,0.6762213345094936
9,56,0.05191929203321554,0.7281406265427092
10,68,0.05470787571659148,0.7828485022593007
11,64,0.03814784499981361,0.8209963472591143
12,80,0.039748365562512995,0.8607447128216273
13,92,0.037867954110962665,0.89861266693259
14,88,0.031165898850304918,0.929778565782895
15,96,0.028224324266907096,0.9580028900498021
16,74,0.01880884194106508,0.9768117319908671
17,60,0.011259280509387785,0.9880710125002549
18,36,0.0053298259410188625,0.9934008384412737
19,32,0.003890435561968227,0.9972912740032419
20,16,0.0017195583475748727,0.9990108323508168
21,12,0.000953137937411215,0.999963970288228
22,1,3.6029711772080704e-05,1.0000000000000002
