axis,mode_idx,norm_mag_mean,norm_mag_std
dim0,0,1.0,0.0
dim0,1,0.93005913,0.025686871
dim0,2,0.9097359,0.0051978477
dim0,3,0.8650842,0.024816418
dim0,4,0.86300135,0.009087432
dim0,5,0.866916,0.024619771
dim0,6,0.8658402,0.020246722
dim0,7,0.8650574,0.021901092
dim0,8,0.7436016,0.009755794
dim0,9,0.90186757,0.02362598
dim0,10,0.87401766,0.010033385
dim0,11,0.8667397,0.024865804
dim0,12,0.87368554,0.02040641
dim0,13,0.8872816,0.03735199
dim0,14,0.88860077,0.01321443
dim0,15,0.9387405,0.0044468497
dim1,0,0.7381658,0.018990766
dim1,1,0.9118855,0.024125688
dim1,2,0.89659405,0.023578882
dim1,3,0.8790717,0.027387038
dim1,4,0.8950836,0.032749686
dim1,5,0.8814831,0.020971427
dim1,6,0.90282255,0.02160155
dim1,7,0.9408359,0.015778184
dim1,8,1.0,0.0
