arm,held_out,seed,epochs,snr_db,members,factorization,n_train_traj,n_held_pairs,n_seen_pairs,held_out_vrmse,seen_vrmse,gap_ratio,gap_absolute,train_s
baseline,bubbles,0,30,,1,cp,20,118,590,0.08778781443834305,0.046849269419908524,1.873835291891185,0.040938545018434525,141.9
robust,bubbles,0,30,30.0,1,cp,20,118,590,0.08466151356697083,0.04696537181735039,1.8026369278246483,0.03769614174962044,142.2
robust+unc,bubbles,0,30,30.0,4,cp,20,118,590,0.09037888795137405,0.04533078148961067,1.993764170425518,0.04504810646176338,647.5
baseline,gliders,0,30,,1,cp,20,118,590,0.05085308849811554,0.05191710218787193,0.979505526215503,-0.0010640136897563934,287.9
robust,gliders,0,30,30.0,1,cp,20,118,590,0.05050433427095413,0.0490109845995903,1.0304696933465873,0.0014933496713638306,440.4
robust+unc,gliders,0,30,30.0,4,cp,20,118,590,0.057857412844896317,0.05188741162419319,1.1150568323573793,0.005970001220703125,1422.3
baseline,maze,0,30,,1,cp,20,118,590,0.044536564499139786,0.04945047199726105,0.9006297149520952,-0.004913907498121262,300.6
robust,maze,0,30,30.0,1,cp,20,118,590,0.04584810510277748,0.04848777875304222,0.9455600211403967,-0.00263967365026474,293.2
robust+unc,maze,0,30,30.0,4,cp,20,118,590,0.050823312252759933,0.05277017876505852,0.9631066909785098,-0.001946866512298584,794.2
baseline,spirals,0,30,,1,cp,20,118,590,0.09208559989929199,0.04442785307765007,2.0726997484741547,0.04765774682164192,149.3
robust,spirals,0,30,30.0,1,cp,20,118,590,0.09784673154354095,0.04637768119573593,2.109780588869484,0.05146905034780502,149.5
robust+unc,spirals,0,30,30.0,4,cp,20,118,590,0.10045376420021057,0.04372120276093483,2.2975983700513987,0.05673256143927574,585.7
baseline,spots,0,30,,1,cp,20,118,590,0.028279393911361694,0.050342023372650146,0.5617452779366303,-0.022062629461288452,156.6
robust,spots,0,30,30.0,1,cp,20,118,590,0.030185913667082787,0.05036667734384537,0.599323109225735,-0.02018076367676258,147.0
robust+unc,spots,0,30,30.0,4,cp,20,118,590,0.02992919087409973,0.05199741944670677,0.5755899272034986,-0.02206822857260704,598.8
baseline,worms,0,30,,1,cp,20,118,590,0.047823164612054825,0.0493994802236557,0.9680904413474773,-0.0015763156116008759,147.6
robust,worms,0,30,30.0,1,cp,20,118,590,0.04259578511118889,0.05007278174161911,0.8506774265305986,-0.0074769966304302216,146.8
robust+unc,worms,0,30,30.0,4,cp,20,118,590,0.04290982708334923,0.052108436822891235,0.8234717773091773,-0.009198609739542007,1169.3
