corruption,severity,baseline_vrmse,robust_vrmse,baseline_excess,robust_excess,frac_gap_closed,robust_better_absolute
dropout,0.0,0.03729283809661865,0.10327710956335068,0.0,0.0,nan,False
dropout,0.1,0.17631034553050995,0.1814594566822052,0.1390175074338913,0.07818234711885452,0.4376079059248452,False
dropout,0.25,0.2747458219528198,0.26119735836982727,0.23745298385620117,0.1579202488064766,0.3349409797178573,True
dropout,0.5,0.3866865038871765,0.35832270979881287,0.34939366579055786,0.2550456002354622,0.2700337035063827,True
dropout,0.75,0.4718647599220276,0.43548449873924255,0.43457192182540894,0.3322073891758919,0.2355525691110859,True
dropout,1.0,0.5421501398086548,0.5001570582389832,0.5048573017120361,0.3968799486756325,0.21387697606875952,True
smartphone,0.0,0.03729283809661865,0.10327710956335068,0.0,0.0,nan,False
smartphone,0.1,0.054993849247694016,0.1046701967716217,0.017701011151075363,0.0013930872082710266,0.9212990039732055,False
smartphone,0.25,0.12107059359550476,0.11365711688995361,0.08377775549888611,0.010380007326602936,0.876100675354797,True
smartphone,0.5,0.2851829528808594,0.15120556950569153,0.24789011478424072,0.04792845994234085,0.8066544122420656,True
smartphone,0.75,0.455843061208725,0.2041873037815094,0.4185502231121063,0.10091019421815872,0.7589054105195627,True
smartphone,1.0,0.6057048439979553,0.26517006754875183,0.5684120059013367,0.16189295798540115,0.7151837816502734,True
