arm,corruption,severity,vrmse,factorization,epochs,seed,train_s
baseline,smartphone,0.0,0.03729283809661865,cp,60,0,791.6
baseline,smartphone,0.1,0.054993849247694016,cp,60,0,791.6
baseline,smartphone,0.25,0.12107059359550476,cp,60,0,791.6
baseline,smartphone,0.5,0.2851829528808594,cp,60,0,791.6
baseline,smartphone,0.75,0.455843061208725,cp,60,0,791.6
baseline,smartphone,1.0,0.6057048439979553,cp,60,0,791.6
baseline,dropout,0.0,0.03729283809661865,cp,60,0,791.6
baseline,dropout,0.1,0.17631034553050995,cp,60,0,791.6
baseline,dropout,0.25,0.2747458219528198,cp,60,0,791.6
baseline,dropout,0.5,0.3866865038871765,cp,60,0,791.6
baseline,dropout,0.75,0.4718647599220276,cp,60,0,791.6
baseline,dropout,1.0,0.5421501398086548,cp,60,0,791.6
robust,smartphone,0.0,0.10327710956335068,cp,60,0,1015.3
robust,smartphone,0.1,0.1046701967716217,cp,60,0,1015.3
robust,smartphone,0.25,0.11365711688995361,cp,60,0,1015.3
robust,smartphone,0.5,0.15120556950569153,cp,60,0,1015.3
robust,smartphone,0.75,0.2041873037815094,cp,60,0,1015.3
robust,smartphone,1.0,0.26517006754875183,cp,60,0,1015.3
robust,dropout,0.0,0.10327710956335068,cp,60,0,1015.3
robust,dropout,0.1,0.1814594566822052,cp,60,0,1015.3
robust,dropout,0.25,0.26119735836982727,cp,60,0,1015.3
robust,dropout,0.5,0.35832270979881287,cp,60,0,1015.3
robust,dropout,0.75,0.43548449873924255,cp,60,0,1015.3
robust,dropout,1.0,0.5001570582389832,cp,60,0,1015.3
