held_out,signal,members,epochs,seed,deferral_rate,threshold_T,retained_vrmse,reference_vrmse,n_kept,n_deferred,n_unsafe,sensitivity,specificity
bubbles,confidence,4,30,0,0.0,inf,0.0895790383219719,0.04600192978978157,118,0,63,0.0,1.0
bubbles,confidence,4,30,0,0.05084745762711865,0.011379180382937193,0.08458636701107025,0.04600192978978157,112,6,63,0.09523809523809523,1.0
bubbles,confidence,4,30,0,0.1016949152542373,0.011264626495540142,0.08174241334199905,0.04600192978978157,106,12,63,0.19047619047619047,1.0
bubbles,confidence,4,30,0,0.15254237288135594,0.011018619639798999,0.07884908467531204,0.04600192978978157,100,18,63,0.2857142857142857,1.0
bubbles,confidence,4,30,0,0.2033898305084746,0.010762183926999569,0.07592471688985825,0.04600192978978157,94,24,63,0.38095238095238093,1.0
bubbles,confidence,4,30,0,0.2542372881355932,0.010540367104113102,0.0730326846241951,0.04600192978978157,88,30,63,0.47619047619047616,1.0
bubbles,confidence,4,30,0,0.2966101694915254,0.010336668230593204,0.07044143229722977,0.04600192978978157,83,35,63,0.5555555555555556,1.0
bubbles,confidence,4,30,0,0.3474576271186441,0.01003854963928461,0.06725692003965378,0.04600192978978157,77,41,63,0.6507936507936508,1.0
bubbles,confidence,4,30,0,0.3983050847457627,0.009817142598330974,0.0639306828379631,0.04600192978978157,71,47,63,0.746031746031746,1.0
bubbles,confidence,4,30,0,0.4491525423728814,0.009619303606450557,0.0603460855782032,0.04600192978978157,65,53,63,0.8412698412698413,1.0
bubbles,confidence,4,30,0,0.5,0.009435470681637526,0.056345343589782715,0.04600192978978157,59,59,63,0.9365079365079365,1.0
bubbles,confidence,4,30,0,0.5508474576271186,0.008421423146501184,0.0533333383500576,0.04600192978978157,53,65,63,1.0,0.9636363636363636
bubbles,confidence,4,30,0,0.6016949152542372,0.0083632817491889,0.052225492894649506,0.04600192978978157,47,71,63,1.0,0.8545454545454545
bubbles,confidence,4,30,0,0.652542372881356,0.008276861580088734,0.05111122131347656,0.04600192978978157,41,77,63,1.0,0.7454545454545455
bubbles,confidence,4,30,0,0.7033898305084746,0.00820546131581068,0.050040703266859055,0.04600192978978157,35,83,63,1.0,0.6363636363636364
bubbles,confidence,4,30,0,0.7457627118644068,0.008142633363604546,0.049168601632118225,0.04600192978978157,30,88,63,1.0,0.5454545454545454
bubbles,confidence,4,30,0,0.7966101694915254,0.008078902214765548,0.04815972223877907,0.04600192978978157,24,94,63,1.0,0.43636363636363634
