held_out,signal,members,epochs,seed,deferral_rate,threshold_T,retained_vrmse,reference_vrmse,n_kept,n_deferred,n_unsafe,sensitivity,specificity
maze,confidence,4,30,0,0.0,inf,0.04797974228858948,0.05104822292923927,118,0,2,0.0,1.0
maze,confidence,4,30,0,0.05084745762711865,0.01022886112332344,0.04076255112886429,0.05104822292923927,112,6,2,1.0,0.9655172413793104
maze,confidence,4,30,0,0.1016949152542373,0.0098495963960886,0.038840919733047485,0.05104822292923927,106,12,2,1.0,0.9137931034482759
maze,confidence,4,30,0,0.15254237288135594,0.009460564609616995,0.03739884868264198,0.05104822292923927,100,18,2,1.0,0.8620689655172413
maze,confidence,4,30,0,0.2033898305084746,0.00918173845857382,0.03598128631711006,0.05104822292923927,94,24,2,1.0,0.8103448275862069
maze,confidence,4,30,0,0.2542372881355932,0.008715228643268347,0.03479748219251633,0.05104822292923927,88,30,2,1.0,0.7586206896551724
maze,confidence,4,30,0,0.2966101694915254,0.008423428982496262,0.03430703282356262,0.05104822292923927,83,35,2,1.0,0.7155172413793104
maze,confidence,4,30,0,0.3474576271186441,0.008149433135986327,0.033825553953647614,0.05104822292923927,77,41,2,1.0,0.6637931034482759
maze,confidence,4,30,0,0.3983050847457627,0.007953687570989132,0.03366026282310486,0.05104822292923927,71,47,2,1.0,0.6120689655172413
maze,confidence,4,30,0,0.4491525423728814,0.007770389248616993,0.03334960341453552,0.05104822292923927,65,53,2,1.0,0.5603448275862069
maze,confidence,4,30,0,0.5,0.007610357832163572,0.03306153416633606,0.05104822292923927,59,59,2,1.0,0.5086206896551724
maze,confidence,4,30,0,0.5508474576271186,0.007542556407861412,0.032870419323444366,0.05104822292923927,53,65,2,1.0,0.45689655172413796
maze,confidence,4,30,0,0.6016949152542372,0.007528393343091011,0.032739002257585526,0.05104822292923927,47,71,2,1.0,0.4051724137931034
maze,confidence,4,30,0,0.652542372881356,0.007386811194010079,0.03275718539953232,0.05104822292923927,41,77,2,1.0,0.35344827586206895
maze,confidence,4,30,0,0.7033898305084746,0.007283496670424938,0.03295840695500374,0.05104822292923927,35,83,2,1.0,0.3017241379310345
maze,confidence,4,30,0,0.7457627118644068,0.0072317441226914525,0.033170390874147415,0.05104822292923927,30,88,2,1.0,0.25862068965517243
maze,confidence,4,30,0,0.7966101694915254,0.007174841407686472,0.03347483277320862,0.05104822292923927,24,94,2,1.0,0.20689655172413793
maze,oracle,4,30,0,0.0,inf,0.04797974228858948,0.05104822292923927,118,0,2,0.0,1.0
maze,oracle,4,30,0,0.05084745762711865,0.0006144555576611309,0.04042092710733414,0.05104822292923927,112,6,2,1.0,0.9655172413793104
maze,oracle,4,30,0,0.1016949152542373,0.0005360160779673606,0.03862323984503746,0.05104822292923927,106,12,2,1.0,0.9137931034482759
maze,oracle,4,30,0,0.15254237288135594,0.0004543320479569957,0.03695150837302208,0.05104822292923927,100,18,2,1.0,0.8620689655172413
maze,oracle,4,30,0,0.2033898305084746,0.00035015538451261836,0.035588767379522324,0.05104822292923927,94,24,2,1.0,0.8103448275862069
maze,oracle,4,30,0,0.2542372881355932,0.0002807779601425864,0.03466884046792984,0.05104822292923927,88,30,2,1.0,0.7586206896551724
maze,oracle,4,30,0,0.2966101694915254,0.00023552330094389617,0.03411015868186951,0.05104822292923927,83,35,2,1.0,0.7155172413793104
maze,oracle,4,30,0,0.3474576271186441,0.0002100683203025255,0.0336148776113987,0.05104822292923927,77,41,2,1.0,0.6637931034482759
maze,oracle,4,30,0,0.3983050847457627,0.00019015817961189898,0.03320525214076042,0.05104822292923927,71,47,2,1.0,0.6120689655172413
maze,oracle,4,30,0,0.4491525423728814,0.00017903517946251667,0.03288349136710167,0.05104822292923927,65,53,2,1.0,0.5603448275862069
maze,oracle,4,30,0,0.5,0.0001715675462037325,0.03258480504155159,0.05104822292923927,59,59,2,1.0,0.5086206896551724
maze,oracle,4,30,0,0.5508474576271186,0.00016240228142123668,0.03232705593109131,0.05104822292923927,53,65,2,1.0,0.45689655172413796
maze,oracle,4,30,0,0.6016949152542372,0.0001568043924635276,0.032108552753925323,0.05104822292923927,47,71,2,1.0,0.4051724137931034
maze,oracle,4,30,0,0.652542372881356,0.0001534816750790924,0.0319044403731823,0.05104822292923927,41,77,2,1.0,0.35344827586206895
maze,oracle,4,30,0,0.7033898305084746,0.00014954325160942972,0.03169970586895943,0.05104822292923927,35,83,2,1.0,0.3017241379310345
maze,oracle,4,30,0,0.7457627118644068,0.0001461992651456967,0.03153777867555618,0.05104822292923927,30,88,2,1.0,0.25862068965517243
maze,oracle,4,30,0,0.7966101694915254,0.00014308257668744774,0.03134161978960037,0.05104822292923927,24,94,2,1.0,0.20689655172413793
maze,random,4,30,0,0.0,inf,0.04797974228858948,0.05104822292923927,118,0,2,0.0,1.0
maze,random,4,30,0,0.05084745762711865,0.9588175811580159,0.048385489732027054,0.05104822292923927,112,6,2,0.0,0.9482758620689655
maze,random,4,30,0,0.1016949152542373,0.9326548354162396,0.04901852086186409,0.05104822292923927,106,12,2,0.0,0.896551724137931
maze,random,4,30,0,0.15254237288135594,0.9176041394053083,0.04885202646255493,0.05104822292923927,100,18,2,0.0,0.8448275862068966
maze,random,4,30,0,0.2033898305084746,0.8634556230873001,0.049418721348047256,0.05104822292923927,94,24,2,0.0,0.7931034482758621
maze,random,4,30,0,0.2542372881355932,0.8104228240797813,0.050098080188035965,0.05104822292923927,88,30,2,0.0,0.7413793103448276
maze,random,4,30,0,0.2966101694915254,0.7579510023564281,0.050187524408102036,0.05104822292923927,83,35,2,0.0,0.6982758620689655
maze,random,4,30,0,0.3474576271186441,0.721864679038193,0.05079235881567001,0.05104822292923927,77,41,2,0.0,0.646551724137931
maze,random,4,30,0,0.3983050847457627,0.6708985073461762,0.05160586163401604,0.05104822292923927,71,47,2,0.0,0.5948275862068966
maze,random,4,30,0,0.4491525423728814,0.6212542444501105,0.049895912408828735,0.05104822292923927,65,53,2,0.5,0.5517241379310345
maze,random,4,30,0,0.5,0.5759311083583059,0.05088677257299423,0.05104822292923927,59,59,2,0.5,0.5
maze,random,4,30,0,0.5508474576271186,0.520945862750949,0.05208846926689148,0.05104822292923927,53,65,2,0.5,0.4482758620689655
maze,random,4,30,0,0.6016949152542372,0.45810398477713415,0.052994441241025925,0.05104822292923927,47,71,2,0.5,0.39655172413793105
maze,random,4,30,0,0.652542372881356,0.41415064887896363,0.05459299311041832,0.05104822292923927,41,77,2,0.5,0.3448275862068966
maze,random,4,30,0,0.7033898305084746,0.35779519670907023,0.05652497336268425,0.05104822292923927,35,83,2,0.5,0.29310344827586204
maze,random,4,30,0,0.7457627118644068,0.29895007224853815,0.05944168195128441,0.05104822292923927,30,88,2,0.5,0.25
maze,random,4,30,0,0.7966101694915254,0.22855143971752678,0.061835065484046936,0.05104822292923927,24,94,2,0.5,0.19827586206896552
