arm,n_traj,per_regime,seed,n_pairs,vrmse,params,epochs,train_s
plain,6,1,0,354,0.09303632378578186,7490,60,13.7
harmonic,6,1,0,354,0.09309706836938858,7710,60,14.3
plain,6,1,1,354,0.08964033424854279,7490,60,13.6
harmonic,6,1,1,354,0.08970069885253906,7710,60,13.0
plain,6,1,2,354,0.09395750612020493,7490,60,12.6
harmonic,6,1,2,354,0.09409026056528091,7710,60,13.0
plain,12,2,0,708,0.07239307463169098,7490,60,27.2
harmonic,12,2,0,708,0.0724400207400322,7710,60,26.8
plain,12,2,1,708,0.06272688508033752,7490,60,25.9
harmonic,12,2,1,708,0.06278695166110992,7710,60,26.8
plain,12,2,2,708,0.07109753787517548,7490,60,26.3
harmonic,12,2,2,708,0.0711454302072525,7710,60,27.0
plain,18,3,0,1062,0.05504048615694046,7490,60,39.3
harmonic,18,3,0,1062,0.055092789232730865,7710,60,40.9
plain,18,3,1,1062,0.04918670281767845,7490,60,38.3
harmonic,18,3,1,1062,0.04918958991765976,7710,60,42.1
plain,18,3,2,1062,0.051767099648714066,7490,60,39.2
harmonic,18,3,2,1062,0.051819317042827606,7710,60,38.0
plain,24,4,0,1416,0.047696713358163834,7490,60,51.6
harmonic,24,4,0,1416,0.04772476851940155,7710,60,61.7
plain,24,4,1,1416,0.04308455064892769,7490,60,56.2
harmonic,24,4,1,1416,0.043109674006700516,7710,60,57.0
plain,24,4,2,1416,0.04507480561733246,7490,60,56.1
harmonic,24,4,2,1416,0.045101895928382874,7710,60,57.0
