arm,n_traj,per_regime,seed,n_pairs,vrmse,params,epochs,train_s
plain,18,3,0,1062,0.322451114654541,7425,50,37.7
harmonic,18,3,0,1062,0.32223689556121826,7645,50,37.5
plain,18,3,1,1062,0.31759944558143616,7425,50,36.4
harmonic,18,3,1,1062,0.3176153898239136,7645,50,37.5
plain,18,3,2,1062,0.3185668885707855,7425,50,36.6
harmonic,18,3,2,1062,0.31839391589164734,7645,50,37.8
plain,54,9,0,3186,0.2806623578071594,7425,50,109.6
harmonic,54,9,0,3186,0.2923718988895416,7645,50,112.4
plain,54,9,1,3186,0.2827499806880951,7425,50,109.6
harmonic,54,9,1,3186,0.27249905467033386,7645,50,112.7
plain,54,9,2,3186,0.2762080729007721,7425,50,110.4
harmonic,54,9,2,3186,0.27870404720306396,7645,50,114.3
